Country Name,Country Code,Time,Time Code,Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Austria,AUT,1996,YR1996,92.4731216430664,92.8961715698242,96.8085098266602,96.1956558227539,97.487434387207,93.5
Austria,AUT,1998,YR1998,93.0481262207031,92.8961715698242,85.638298034668,90.760871887207,97.5,92.0398025512695
Austria,AUT,2000,YR2000,92.5531921386719,94.5355224609375,76.1904754638672,92.9347839355469,98.0099487304688,90.0497512817383
Austria,AUT,2002,YR2002,93.6507949829102,95.1351318359375,94.7089920043945,92.9729766845703,97.5124359130859,91.5422897338867
Austria,AUT,2003,YR2003,94.7089920043945,97.2972946166992,80.4020080566406,91.8918914794922,96.5174102783203,91.5422897338867
Austria,AUT,2004,YR2004,97.0443344116211,93.0348281860352,84.9514541625977,91.5422897338867,96.1538467407227,92.788459777832
Austria,AUT,2005,YR2005,95.1219482421875,92.6470565795898,86.4077682495117,95.0980377197266,97.6076583862305,90.3846130371094
Austria,AUT,2006,YR2006,94.634147644043,96.0975646972656,86.4734268188477,96.0784301757813,98.5645904541016,93.75
Austria,AUT,2007,YR2007,96.1165084838867,96.6019439697266,96.1352691650391,96.1165084838867,99.5215301513672,94.711540222168
Austria,AUT,2008,YR2008,93.689323425293,94.6601943969727,98.5576934814453,94.1747589111328,98.5576934814453,94.2307662963867
Austria,AUT,2009,YR2009,92.8229675292969,93.7799072265625,90.9952621459961,92.3444976806641,96.2085342407227,94.7867279052734
Austria,AUT,2010,YR2010,91.9047622680664,97.1291885375977,89.0995254516602,92.3444976806641,96.6824645996094,95.2606658935547
Austria,AUT,2011,YR2011,89.5734634399414,92.890998840332,91.4691925048828,90.5213241577148,96.7136154174805,94.8356781005859
Austria,AUT,2012,YR2012,89.5734634399414,92.890998840332,96.2085342407227,91.4691925048828,97.6525802612305,95.3051605224609
Austria,AUT,2013,YR2013,90.5213241577148,92.890998840332,96.2085342407227,91.4691925048828,97.6525802612305,95.7746505737305
Austria,AUT,2014,YR2014,90.8653869628906,91.3461532592773,95.2380981445313,91.3461532592773,96.6346130371094,94.5812835693359
Austria,AUT,2015,YR2015,90.476188659668,89.0476226806641,90,91.4285736083984,96.1904754638672,94.0886688232422
Austria,AUT,2016,YR2016,90.9523773193359,90.9523773193359,77.1428604125977,91.4285736083984,95.7142868041992,93.596061706543
Austria,AUT,2017,YR2017,90.476188659668,90.9523773193359,85.2380981445313,90.9523773193359,97.1428604125977,95.0738906860352
Austria,AUT,2018,YR2018,90.9523773193359,90.9523773193359,77.3584899902344,91.4285736083984,98.5714263916016,94.6601943969727
Austria,AUT,2019,YR2019,90.476188659668,91.4285736083984,77.3584899902344,91.4285736083984,98.5714263916016,94.6859893798828
Austria,AUT,2020,YR2020,90.9523773193359,93.8095245361328,76.8867950439453,90.9523773193359,97.1428604125977,95.6521759033203
Austria,AUT,2021,YR2021,85.7142868041992,93.8095245361328,79.2452850341797,87.1428604125977,97.1428604125977,94.6859893798828
Austria,AUT,2022,YR2022,84.9056625366211,91.5094375610352,68.8679275512695,87.2641525268555,95.7547149658203,94.2028961181641
Belgium,BEL,1996,YR1996,88.7096786499023,91.2568283081055,92.0212783813477,84.7826080322266,89.9497451782227,92.5
Belgium,BEL,1998,YR1998,87.1657791137695,92.349723815918,81.9148941040039,79.3478240966797,87,91.5422897338867
Belgium,BEL,2000,YR2000,90.4255294799805,90.7103805541992,83.5978851318359,85.8695678710938,89.0547256469727,92.5373153686523
