variables	Eigenvalue	VIF
Democratic Governance	2.57263888111467	2.07971855612569
Trade Unions	1.98222568845263	3.43727988790963
Collective Bargain Coverage	1.33417632133578	2.92202959468971
Inflation	1.214606719974	1.11340556421237
Wage Growth	0.974280948351642	1.28442331410922
Government Debt (%)	0.83759786650395	1.27496752756054
Log of Labor participation	0.689838092013423	2.00049747622145
Women Unemployment Rate	0.575738518160755	1.60754115811098
Net Export	0.408824708656005	1.87583976899163
Net FDI	0.244806968749159	1.15853113626476
Tax Contribution	0.165265286687982	1.70036130331559
