STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1960,,64.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1961,,65,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1962,,65.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1963,,64.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1964,,65.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1965,,65.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1966,,64.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1967,,65.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1968,,66.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1969,,67,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1970,,66.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1971,,68.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1972,,69.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1973,,70.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1974,,71.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1975,,74,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1976,,74,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1977,,76.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1978,,77.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1979,,77.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1980,,78.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1981,,78.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1982,,79,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1983,,79.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1984,,80.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1985,,81.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1986,,82.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1987,,85.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1988,,84.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1989,,83.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1990,,81.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1991,,82.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1992,,84.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1993,,86.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1994,,86.599998,,A,Normal value,0,Units,1,One
